lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,year,status,complaint
3388.0,3918.0,0.0,2778.0,0.0,0.0,2.0,2.5,95.0,52.0,1.16,1.25,0.0,2.0,95,1,9
2200.0,1488.0,0.0,992.0,0.0,0.0,1.0,1.0,100.0,41.0,0.68,0.75,0.0,2.0,70,1,11
2750.0,2094.0,0.0,2094.0,0.0,0.0,1.0,2.0,125.0,47.6,0.76,3.44,0.0,4.8,23,0,11
1884.0,1757.0,0.0,1216.0,0.0,0.0,1.0,2.0,95.0,32.83,0.93,0.75,0.0,2.0,75,0,6
5000.0,22121.0,2509.0,19612.0,2509.0,0.0,1.0,6.0,100.0,92.0,4.42,3.44,0.0,4.8,7,0,4
2400.0,2800.0,0.0,2800.0,0.0,0.0,1.0,3.0,100.0,50.0,1.17,0.75,0.0,2.0,62,0,6
1367.0,3287.0,0.0,3287.0,0.0,0.0,1.0,3.0,79.23,61.0,2.4,3.44,0.0,4.8,14,0,6
3681.0,2278.0,2278.0,0.0,0.0,0.0,1.0,1.0,85.0,67.0,0.62,6.02,0.0,6.5,96,1,4
2375.0,1096.0,0.0,1096.0,0.0,0.0,1.0,2.0,95.0,32.0,0.46,0.5,0.0,1.0,95,0,11
30309.0,4224.0,4224.0,0.0,0.0,4224.0,2.0,1.0,168.95,44.0,0.14,3.44,1.0,6.5,19,1,5
2500.0,1434.0,0.0,1434.0,0.0,0.0,2.0,2.5,100.0,36.0,0.57,0.5,0.0,1.0,90,0,6
2250.0,3880.0,3880.0,0.0,0.0,2380.0,1.0,1.0,66.67,59.5,1.72,0.75,0.0,2.0,12,0,9
2430.0,7831.0,1100.0,6731.0,0.0,1100.0,1.0,4.0,99.71,80.0,3.22,3.44,0.0,4.8,110,0,6
3364.0,2361.0,0.0,2361.0,0.0,0.0,1.0,2.5,101.17,33.0,0.7,0.75,0.0,2.0,110,0,8
1501.0,1636.0,0.0,1636.0,0.0,0.0,1.0,3.0,84.0,34.0,1.09,0.75,0.0,2.0,65,0,8
2903.0,3520.0,0.0,2816.0,0.0,0.0,1.0,2.0,100.1,64.0,1.21,3.44,0.0,4.8,110,1,12
3072.0,2623.0,2623.0,0.0,0.0,2623.0,1.0,1.0,59.08,59.08,0.85,3.44,0.0,4.8,95,1,9
2006.0,3069.0,0.0,3069.0,0.0,0.0,1.0,3.0,107.1,50.0,1.53,2.43,0.0,4.8,18,0,6
2500.0,4500.0,4500.0,0.0,2000.0,0.0,1.0,2.0,100.0,100.0,1.8,3.0,2.0,3.0,89,1,11
1858.0,3246.0,0.0,3246.0,0.0,0.0,1.0,3.0,100.0,59.0,1.75,6.02,0.0,6.5,121,0,6
1315.0,2624.0,0.0,2624.0,0.0,0.0,1.0,3.0,50.03,32.0,2.0,4.0,0.0,4.0,12,1,11
2000.0,1801.0,0.0,1801.0,0.0,0.0,2.0,2.75,20.0,37.0,0.9,6.02,0.0,6.5,119,0,6
3300.0,1745.0,0.0,980.0,0.0,0.0,1.0,1.0,100.0,50.0,0.53,0.75,0.0,2.0,65,0,6
6162.0,12000.0,12000.0,0.0,12000.0,0.0,1.0,2.0,106.83,106.0,1.95,0.0,1.0,2.4,97,0,6
1900.0,1732.0,0.0,1260.0,0.0,0.0,1.0,2.0,95.0,35.0,0.91,1.25,0.0,2.0,85,0,6
2466.0,2198.0,0.0,2198.0,0.0,0.0,1.0,2.0,98.67,42.0,0.89,1.1,0.0,2.0,95,0,6
2515.0,2288.0,0.0,2288.0,0.0,0.0,1.0,2.0,105.0,52.0,0.91,2.43,0.0,4.8,35,0,6
2423.0,1372.0,0.0,1372.0,0.0,0.0,2.0,2.0,95.0,38.0,0.57,2.43,0.0,4.8,85,0,6
5001.0,1890.0,0.0,1890.0,0.0,0.0,2.0,2.0,100.0,45.0,0.38,2.43,0.0,4.8,95,0,6
2602.0,2450.0,0.0,1225.0,0.0,0.0,1.0,1.0,104.08,53.0,0.94,0.75,0.0,2.0,96,0,6
2300.0,4424.0,4424.0,0.0,0.0,0.0,1.0,3.0,115.0,55.0,1.92,3.44,0.0,4.8,119,1,1
3559.0,2030.0,0.0,2030.0,0.0,0.0,1.0,2.0,125.25,45.0,0.57,1.25,0.0,2.0,119,0,11
50000.0,59714.0,59714.0,0.0,0.0,0.0,1.0,5.0,246.75,118.5,1.19,0.75,0.0,2.0,53,0,6
3040.0,1362.0,0.0,1362.0,0.0,0.0,1.0,2.0,95.0,35.0,0.45,0.75,0.0,2.0,60,0,8
2525.0,5936.0,5936.0,0.0,0.0,0.0,1.0,2.0,84.17,53.0,2.35,3.44,0.0,4.8,89,1,4
2500.0,2200.0,0.0,2200.0,0.0,0.0,1.0,2.0,100.0,55.0,0.88,2.43,0.0,4.8,119,0,6
1800.0,1116.0,0.0,1116.0,0.0,0.0,1.0,2.0,100.0,34.0,0.62,0.5,0.0,1.0,65,0,1
2144.0,2304.0,0.0,2304.0,0.0,0.0,1.0,2.0,93.42,55.0,1.07,1.25,0.0,2.0,100,0,6
1530.0,1152.0,0.0,1152.0,0.0,0.0,1.0,2.0,85.0,32.0,0.75,1.25,0.0,2.0,70,0,6
2340.0,2064.0,0.0,2064.0,0.0,0.0,1.0,2.0,93.58,42.0,0.88,3.44,0.0,4.8,119,0,9
5000.0,1368.0,0.0,1368.0,0.0,0.0,2.0,2.0,100.0,41.0,0.27,0.75,0.0,2.0,85,1,6
2460.0,3693.0,0.0,3693.0,0.0,0.0,1.0,3.0,108.42,54.0,1.5,0.75,0.0,2.0,32,0,11
2448.0,1980.0,0.0,1980.0,0.0,0.0,1.0,2.0,50.58,33.0,0.81,0.5,0.0,1.0,90,0,2
8983.0,1188.0,0.0,1188.0,0.0,0.0,2.0,2.0,108.67,28.0,0.13,0.5,0.0,1.0,95,0,1
1394.0,3402.0,0.0,3402.0,0.0,0.0,1.0,3.0,75.0,63.0,2.44,2.43,0.0,4.8,84,0,6
4650.0,3060.0,0.0,3060.0,0.0,0.0,1.0,3.0,93.0,55.0,0.66,1.25,0.0,2.0,17,0,6
