zipcode_left,latitude_left,longitude_left,address_left,lot,zipcode_right,lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,yearbuilt,yearalter1,builtfar,residfar,commfar,facilfar,latitude_right,longitude_right,address_right
10460.0,40.836365201146585,-73.88947055178092,BOSTON ROAD,16,10473.0,2500.0,3080.0,0.0,2240.0,0.0,0.0,2.0,2.0,100.0,56.0,1935.0,0.0,1.23,1.25,0.0,2.0,40.8155139545976,-73.8641655966722, COMMONWEALTH AVENUE
10468.0,40.861233408768975,-73.9062905039923,UNIVERSITY AVENUE,31,10473.0,5150.0,0.0,,,,,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,40.8259080193139,-73.8444592231515, STORY AVENUE
10454.0,40.80751593710988,-73.91238780389277,POWERS AVENUE,16,10469.0,2500.0,3080.0,0.0,2240.0,0.0,0.0,1.0,2.0,100.0,56.0,1930.0,0.0,1.23,1.25,0.0,2.0,40.874929943177705,-73.8496852992753, FISH AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,56,10468.0,2500.0,2728.0,0.0,2728.0,0.0,0.0,1.0,2.75,100.0,31.0,1910.0,0.0,1.09,6.02,0.0,6.5,40.8673747127648,-73.8952147076448, CRESTON AVENUE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,29,10462.0,8250.0,5100.0,5100.0,0.0,0.0,0.0,1.0,1.0,90.0,78.5,1956.0,0.0,0.62,0.0,1.0,2.4,40.8434010307843,-73.855741709168, BRONXDALE AVENUE
10457.0,40.84439424893464,-73.90580099731008,TOPPING AVENUE,1,10462.0,2871.0,1998.0,0.0,1332.0,0.0,0.0,1.0,2.0,108.0,37.0,1955.0,0.0,0.7,0.75,0.0,2.0,40.851775328199,-73.8603575742256, NEILL AVENUE
10460.0,40.851319477020006,-73.88225975869638,SOUTHERN BOULEVARD,26,10451.0,4834.0,0.0,,,,,0.0,0.0,116.0,0.0,0.0,0.0,0.0,6.02,0.0,6.5,40.8258208031764,-73.9165767787605, EAST  STREET
10456.0,40.83005969548922,-73.90377966194463,FRANKLIN AVENUE,17,10453.0,3325.0,2076.0,0.0,2076.0,0.0,0.0,1.0,2.0,100.0,52.0,1920.0,0.0,0.62,3.44,0.0,4.8,40.846489370397,-73.9140460818718, DAVIDSON AVENUE
10453.0,40.848493527336174,-73.92247251665286,UNDERCLIFF AVENUE,164,10465.0,2100.0,1836.0,0.0,1836.0,0.0,0.0,1.0,3.0,100.0,34.0,1960.0,0.0,0.87,0.75,0.0,2.0,40.814169467591206,-73.8221135451439, BALCOM AVENUE
10463.0,40.87877028674815,-73.90754952044485,KINGSBRIDGE AVENUE,7,10456.0,3058.0,2682.0,0.0,2682.0,0.0,0.0,1.0,3.0,81.33,39.0,1901.0,1994.0,0.88,2.43,0.0,4.8,40.83338935724439,-73.89781949415, CROTONA AVENUE
