lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,years,status,complaint_type
2360.0,1320.0,0.0,1320.0,0.0,0.0,1.0,2.0,118.0,33.0,0.56,3.44,0.0,4.8,35,0,1
108066.0,254000.0,0.0,254000.0,0.0,0.0,19.0,6.0,200.0,199.0,2.35,2.43,0.0,4.8,85,0,1
2375.0,2916.0,0.0,1952.0,0.0,0.0,1.0,2.0,95.0,52.0,1.23,1.25,0.0,2.0,110,1,1
2839.0,3074.0,0.0,3074.0,0.0,0.0,1.0,2.75,112.42,55.0,1.08,3.44,0.0,4.8,110,1,0
2458.0,3550.0,0.0,2750.0,0.0,0.0,1.0,2.0,100.0,67.0,1.44,2.43,0.0,4.8,95,1,1
1633.0,1740.0,0.0,1740.0,0.0,0.0,1.0,2.0,50.0,30.0,1.07,1.25,0.0,2.0,60,1,1
15000.0,53700.0,3300.0,50400.0,0.0,0.0,1.0,6.0,100.0,69.33,3.58,3.44,0.0,4.8,58,1,1
2500.0,2920.0,0.0,2920.0,0.0,0.0,1.0,2.0,100.0,73.0,1.17,3.44,0.0,4.8,100,1,1
1740.0,2040.0,0.0,2040.0,0.0,0.0,1.0,3.0,91.5,43.0,1.17,3.0,0.0,3.0,70,1,1
2500.0,1600.0,0.0,1600.0,0.0,0.0,1.0,1.5,100.0,50.0,0.64,0.5,0.0,1.0,75,1,0
2500.0,1720.0,0.0,1110.0,0.0,0.0,1.0,1.5,100.0,60.0,0.69,0.5,0.0,1.0,95,1,1
4500.0,16000.0,0.0,16000.0,0.0,0.0,1.0,4.0,90.0,80.0,3.56,0.75,0.0,2.0,90,1,1
2500.0,2080.0,0.0,2080.0,0.0,0.0,2.0,2.0,100.0,46.0,0.83,0.75,0.0,2.0,95,1,1
5000.0,3163.0,0.0,2215.0,0.0,0.0,1.0,2.0,100.0,31.0,0.63,0.75,0.0,2.0,60,1,0
2925.0,3500.0,0.0,2800.0,0.0,0.0,1.0,2.0,100.0,70.0,1.2,2.43,0.0,4.8,95,1,1
2015.0,2360.0,0.0,2360.0,0.0,0.0,1.0,3.0,100.33,40.0,1.17,2.43,0.0,4.8,90,1,0
4049.0,1910.0,0.0,1910.0,0.0,0.0,2.0,2.0,78.0,46.0,0.47,0.5,0.0,1.0,90,1,1
1800.0,1539.0,0.0,1188.0,0.0,0.0,1.0,2.0,100.0,41.0,0.86,2.43,0.0,4.8,70,1,0
7500.0,25813.0,0.0,25813.0,0.0,0.0,1.0,5.0,100.0,88.0,3.44,6.02,0.0,6.5,94,1,0
2500.0,3507.0,0.0,2268.0,0.0,0.0,2.0,2.0,100.0,50.0,1.4,0.75,0.0,2.0,90,1,0
2500.0,3255.0,0.0,3255.0,0.0,0.0,1.0,3.0,100.0,67.75,1.3,0.75,0.0,2.0,17,1,1
2231.0,1757.0,0.0,1216.0,0.0,0.0,1.0,2.0,112.5,32.0,0.79,0.75,0.0,2.0,70,1,0
1710.0,1710.0,0.0,1080.0,0.0,0.0,1.0,2.0,95.0,35.0,1.0,0.75,0.0,2.0,75,1,1
2384.0,4050.0,0.0,4050.0,0.0,0.0,1.0,3.0,98.0,75.0,1.7,1.25,0.0,2.0,32,1,1
