lotarea,bldgarea,resarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,year,status,complaint
2375.0,1254.0,1254.0,2.0,2.0,95.0,33.0,0.53,0.75,90,0,0
1800.0,2002.0,2002.0,1.0,2.0,90.0,55.0,1.11,0.75,110,0,0
1800.0,1849.0,1296.0,1.0,2.0,100.0,36.0,1.03,1.25,65,1,0
3500.0,1750.0,1750.0,1.0,2.0,100.0,50.0,0.5,3.44,24,1,0
2500.0,2000.0,2000.0,1.0,2.0,100.0,40.0,0.8,3.44,24,1,3
2492.0,1728.0,1152.0,1.0,2.0,100.0,36.0,0.69,0.75,55,1,0
2000.0,1760.0,1760.0,1.0,2.0,100.0,44.0,0.88,2.43,60,1,3
5708.0,26632.0,26632.0,1.0,5.0,124.27,61.0,4.67,2.43,14,1,2
2500.0,1600.0,1600.0,2.0,2.0,100.0,40.0,0.64,0.75,90,1,0
2375.0,1688.0,1688.0,2.0,2.0,95.0,36.0,0.71,1.25,85,1,4
2000.0,5192.0,3392.0,2.0,3.0,100.0,90.0,2.6,1.25,114,1,0
1934.0,1116.0,1116.0,1.0,2.0,107.42,31.0,0.58,0.75,70,1,0
57433.0,1380.0,0.0,1.0,1.0,229.0,30.0,0.02,0.0,64,0,0
1967.0,2655.0,1770.0,1.0,2.0,100.0,45.0,1.35,3.44,23,0,0
2950.0,3076.0,3076.0,1.0,3.0,100.0,50.0,1.04,1.25,50,1,0
2079.0,1824.0,1216.0,1.0,2.0,109.42,32.0,0.88,0.75,70,0,0
2134.0,1782.0,1782.0,1.0,3.0,109.42,33.0,0.84,0.75,65,1,0
2038.0,2700.0,2700.0,1.0,3.0,100.0,45.0,1.32,2.43,26,1,0
1895.0,1800.0,1800.0,1.0,2.0,94.75,45.0,0.95,2.43,114,1,3
2500.0,1040.0,1040.0,1.0,1.5,100.0,40.0,0.42,0.5,100,1,0
3300.0,3267.0,2376.0,1.0,2.0,100.0,54.0,0.99,1.1,95,1,0
2503.0,1020.0,1020.0,1.0,1.0,100.0,48.0,0.41,2.0,85,0,0
2102.0,1672.0,1216.0,1.0,2.0,105.93,32.0,0.8,1.25,70,1,0
2500.0,2706.0,2112.0,1.0,2.0,100.0,54.0,1.08,3.44,55,1,0
1718.0,2025.0,2025.0,1.0,3.0,66.09,25.96,1.18,3.44,18,1,0
2500.0,1564.0,1564.0,1.0,2.0,100.0,46.0,0.63,0.75,80,1,0
2375.0,1910.0,1528.0,1.0,2.0,95.0,37.0,0.8,1.25,121,1,3
1702.0,1048.0,1048.0,2.0,2.0,74.0,32.0,0.62,0.5,80,1,0
2478.0,768.0,768.0,1.0,2.0,109.33,24.0,0.31,0.5,72,1,3
2375.0,1425.0,950.0,1.0,2.0,95.0,25.0,0.6,0.75,70,1,0
2500.0,1406.0,1406.0,1.0,2.0,100.0,34.0,0.56,3.44,100,1,0
5000.0,2937.0,2937.0,2.0,2.75,100.0,50.0,0.59,1.25,95,0,0
3570.0,4140.0,4140.0,1.0,3.0,159.65,52.0,1.16,1.25,17,1,3
17002.0,17115.0,0.0,1.0,2.0,280.71,181.0,1.01,3.44,89,1,0
2360.0,1320.0,1320.0,1.0,2.0,118.0,33.0,0.56,3.44,35,1,0
2950.0,2800.0,2800.0,1.0,3.0,100.0,50.0,0.95,1.25,65,0,0
108066.0,254000.0,254000.0,19.0,6.0,200.0,199.0,2.35,2.43,85,0,0
2375.0,2916.0,1952.0,1.0,2.0,95.0,52.0,1.23,1.25,110,1,3
2839.0,3074.0,3074.0,1.0,2.75,112.42,55.0,1.08,3.44,110,1,0
2458.0,3550.0,2750.0,1.0,2.0,100.0,67.0,1.44,2.43,95,0,0
1633.0,1740.0,1740.0,1.0,2.0,50.0,30.0,1.07,1.25,60,1,0
2500.0,2920.0,2920.0,1.0,2.0,100.0,73.0,1.17,3.44,100,1,0
1740.0,2040.0,2040.0,1.0,3.0,91.5,43.0,1.17,3.0,70,1,0
2500.0,1600.0,1600.0,1.0,1.5,100.0,50.0,0.64,0.5,75,1,0
2500.0,1570.0,970.0,1.0,1.5,100.0,30.0,0.63,0.5,95,1,0
2500.0,1720.0,1110.0,1.0,1.5,100.0,60.0,0.69,0.5,95,1,0
2442.0,1600.0,1600.0,2.0,2.0,100.0,40.0,0.66,0.75,85,0,0
2100.0,2310.0,2310.0,1.0,2.0,100.0,55.0,1.1,2.43,27,0,0
7500.0,3727.0,2622.0,1.0,2.5,100.0,28.0,0.5,0.5,80,1,2
3300.0,3201.0,3201.0,2.0,2.75,100.0,45.0,0.97,2.43,119,1,0
2575.0,2009.0,1448.0,1.0,2.0,103.0,35.0,0.78,0.75,80,1,3
4500.0,16000.0,16000.0,1.0,4.0,90.0,80.0,3.56,0.75,90,1,3
2500.0,2080.0,2080.0,2.0,2.0,100.0,46.0,0.83,0.75,95,1,0
1800.0,1842.0,1296.0,1.0,2.0,100.0,36.0,1.02,2.43,80,0,0
5000.0,3163.0,2215.0,1.0,2.0,100.0,31.0,0.63,0.75,60,1,0
2450.0,1896.0,1330.0,1.0,2.0,100.0,35.0,0.77,0.75,60,0,0
2500.0,1670.0,1670.0,1.0,2.0,100.0,55.0,0.67,0.75,65,1,0
1875.0,2160.0,1440.0,1.0,2.0,100.0,40.0,1.15,2.43,110,1,0
2925.0,3500.0,2800.0,1.0,2.0,100.0,70.0,1.2,2.43,95,0,0
3742.0,3906.0,3906.0,1.0,2.0,100.0,60.0,1.04,2.43,89,1,0
10000.0,45600.0,45600.0,1.0,6.0,100.0,90.0,4.56,2.43,91,1,0
2800.0,1708.0,946.0,1.0,1.0,100.0,46.0,0.61,0.75,65,1,0
2500.0,1680.0,1120.0,1.0,2.0,100.0,30.33,0.67,0.75,75,1,2
3578.0,1198.0,1198.0,2.0,1.75,90.0,50.0,0.33,0.75,90,0,0
2015.0,2360.0,2360.0,1.0,3.0,100.33,40.0,1.17,2.43,90,1,0
4049.0,1910.0,1910.0,2.0,2.0,78.0,46.0,0.47,0.5,90,1,0
1800.0,1539.0,1188.0,1.0,2.0,100.0,41.0,0.86,2.43,70,1,0
7500.0,25813.0,25813.0,1.0,5.0,100.0,88.0,3.44,6.02,94,1,0
2500.0,3507.0,2268.0,2.0,2.0,100.0,50.0,1.4,0.75,90,1,3
2500.0,3255.0,3255.0,1.0,3.0,100.0,67.75,1.3,0.75,17,1,1
2719.0,2782.0,2782.0,1.0,3.0,145.01,53.0,1.02,3.0,19,1,0
1858.0,2808.0,2808.0,1.0,3.0,100.01,52.0,1.51,4.0,16,0,0
1650.0,1024.0,1024.0,2.0,2.0,100.0,32.0,0.62,2.43,119,1,0
1665.0,3320.0,2180.0,1.0,2.0,66.58,50.0,1.99,0.75,100,1,0
2221.0,1665.0,1152.0,1.0,2.0,87.08,32.0,0.75,0.75,70,1,0
2717.0,2184.0,2184.0,1.0,2.0,104.17,55.0,0.8,0.75,80,1,2
3901.0,3683.0,2379.0,2.0,2.0,104.25,40.0,0.94,0.75,100,1,0
2231.0,1757.0,1216.0,1.0,2.0,112.5,32.0,0.79,0.75,70,1,0
1710.0,1710.0,1080.0,1.0,2.0,95.0,35.0,1.0,0.75,75,1,0
1710.0,1552.0,1080.0,1.0,2.0,95.0,35.0,0.91,0.75,75,1,0
2384.0,4050.0,4050.0,1.0,3.0,98.0,75.0,1.7,1.25,32,1,0
5733.0,3458.0,2394.0,3.0,2.5,114.67,28.0,0.6,3.0,100,1,1
5102.0,3402.0,3402.0,1.0,3.0,150.08,51.5,0.67,3.44,17,1,0
2790.0,1336.0,1336.0,1.0,2.0,114.67,36.0,0.48,0.75,110,1,1
6000.0,2000.0,2000.0,2.0,2.0,120.0,54.0,0.33,0.5,80,1,0
